Name,Founded,Type(CEX),RegionNotes,KeyNotes,MetricSourceURL,SnapshotDate,OfficialURL
Binance,2017-07,CEX,Global,Global centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.binance.com
Coinbase,2012-06,CEX,US,US-based centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.coinbase.com
OKX,2017-01,CEX,Global,Centralized exchange and Web3 platform,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.okx.com
Kraken,2011-07,CEX,US,US-based centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.kraken.com
Bybit,2018-03,CEX,Global,Centralized exchange with derivatives focus,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.bybit.com
Bitstamp,2011-08,CEX,EU,European centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.bitstamp.net
Upbit,2017-10,CEX,Korea,South Korea-based exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://upbit.com
Bitfinex,2012-10,CEX,Global,Centralized exchange with margin trading,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.bitfinex.com
Gate.io,2013-04,CEX,Global,Centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.gate.io
KuCoin,2017-09,CEX,Global,Centralized exchange,https://www.coingecko.com/en/exchanges,2026-02-04,https://www.kucoin.com
